Primary archt/firm
Coughlin and Ayres
Ralph H. Cameron | architect
Adams and Adams | architectural firm
Ralph H. Cameron | architect
Adams and Adams | architectural firm
Ralph H. Cameron | architect
Drexel and Gevers
Ralph H. Cameron | architect
"Ayres, Dielman and Walker | architectural firm"
Ralph H. Cameron | architect
Adams and Adams | architectural firm
Ralph H. Cameron | architect
Roy A. Benjamin | architect
Ralph H. Cameron | architect
"Sanguinet, Staats and Boelhaune | architectural firm"
Ralph H. Cameron | architect
unidentified | contributor
Ralph H. Cameron | architect
Robert Leon White | architect
J. Flood Walker | archtitect
unidentified | contributor
Ralph H. Cameron | architect
unidentified | contributor
Ralph H. Cameron | architect
Birdsall Briscoe | architect
Ralph H. Cameron | architect
unidentified | contributor
Ralph H. Cameron | architect
Herbert M. Greene | architect
unidentified | contributor
Ralph H. Cameron | architect
unidentified | contributor
Ralph H. Cameron | architect
Alfred C. Finn | architect
Ralph H. Cameron | architect
unidentified | contributor
Ralph H. Cameron | architect
unidentified | contributor
Ralph H. Cameron | architect
unidentified | contributor
Ralph H. Cameron | architect
Adams and Adams | architectural firm
Ralph H. Cameron | architect
unidentified | contributor
Ralph H. Cameron | architect
Adams and Adams | architectural firm
Ralph H. Cameron | architect
unidentified | contributor
Ralph H. Cameron | architect
unidentified | contributor
Ralph H. Cameron | architect
unidentified | contributor
Ralph H. Cameron | architect
Nicholas J. Clayton
"Dielmann, Leo M.J.  (1847-1961)"
"Geddes, Norman Bel"
unidentified | contributor
Henry Trost
"Barnes, Landes, Goodman"
"Bell, Klein and Hoffman"
Brooks and Barr
"Brooks, Barr, Graeber, and White"
"Fehr, Arthur"
Graeber Simmons and Cowan | architects
"Granger, Charles T."
August Watkins Harris
David Hoffman and Company
"Jackson, Robert"
Jessen and Jessen
J. H. Eccleston Johnston Jr.
"Ketchum, W. E."
"Kreisle, Ed"
"Kuehne, Brooks and Barr"
"Kuehne, Hugo F."
Lundgren and Maurer | architect
Elijah E. Myers
Chartier Newton
Niggli and Gustafson
Page Brothers | architectural firm
C. H. Page
Page Southerland Page | architectural firm
John Linn Scott
Roger Q. Small
Arthur O. Watson
J. Roy White
Ruffini
unidentified | contributor
Cima Malek - Aslani
Trost and Trost
Percy McGhee
"Dunne, W. Scott"
Guy A. Carlander
E. F. Rittenberry
"Gideon, Samuel E."
William Ward Watkin | architect
Hare and Hare | landscape architects
"Kessler, George"
MacKie and Kamrath
Marshall and Fox
Moore Grover Harper
