unique ID,Primary archt/firm,Primary archt/firm[1][Name],Primary archt/firm[1][Role],Primary archt/firm[1][Type],Primary archt/firm[2][Name],Primary archt/firm[2][Role],Primary archt/firm[2][Type],Primary archt/firm[3][Name],Primary archt/firm[3][Role],Primary archt/firm[3][Type],Primary archt/firm[4][Name],Primary archt/firm[4][Role],Primary archt/firm[4][Type],Primary archt/firm[5][Name],Primary archt/firm[5][Role],Primary archt/firm[5][Type],Primary archt/firm_flag
9220,Atlee B. Ayres and Robert M. Ayres | architects,Atlee B. Ayres and Robert M. Ayres,architects,corporate,,,,,,,,,,,,,0
9221,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9222,Frost Carvel,Frost Carvel,contributor,person,,,,,,,,,,,,,0
9223,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9224,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9225,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9226,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9227,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9228,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9229,Southwell Map Company,Southwell Map Company,contributor,corporate,,,,,,,,,,,,,0
9230,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9231,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9232,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9233,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9234,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9235,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9236,Kelwood Co. Inc.,Kelwood Co. Inc.,contributor,corporate,,,,,,,,,,,,,0
9237,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9238,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9239,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9240,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9241,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9242,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9243,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9244,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9245,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9246,Atlee B. Ayres | architect,Atlee B. Ayres,architect,person,,,,,,,,,,,,,0
9247,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9248,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9249,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9250,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9251,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9252,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9253,William E. Parrish | architectural firm,William E. Parrish,architectural firm,person,,,,,,,,,,,,,0
9254,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9255,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9256,C. A. Coughlin,C. A. Coughlin,contributor,person,,,,,,,,,,,,,0
9257,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9258,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9259,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9260,J. Fred Buenz | architect,J. Fred Buenz,architect,person,,,,,,,,,,,,,0
9261,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9262,Atlee B. Ayres and Robert M. Ayres | architects,Atlee B. Ayres and Robert M. Ayres,architects,corporate,,,,,,,,,,,,,0
9263,J. Fred Buenz | architect,J. Fred Buenz,architect,person,,,,,,,,,,,,,0
9264,J. Fred Buenz | architect,J. Fred Buenz,architect,person,,,,,,,,,,,,,0
9265,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9266,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9267,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9268,unidentified | contributor,,,,,,,,,,,,,,,,0
9269,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9270,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9271,James Adams | surveyor,James Adams,surveyor,person,,,,,,,,,,,,,0
9272,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9273,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9274,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9275,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9276,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9277,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9278,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9279,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9280,A. C. Walker; Philip Castaneda,A. C. Walker,contributor,person,Philip Castaneda,contributor,person,,,,,,,,,,0
9281,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9282,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9283,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9284,Fooshee and Cheek | architect; Flint and Broad | architects; H. B. Thomson | architect,Fooshee and Cheek,architect,corporate,Flint and Broad,architects,corporate,H. B. Thomson,architect,person,,,,,,,0
9285,unidentified | contributor,,,,,,,,,,,,,,,,0
