unique ID,Collaborators:,Collaborators[1][Name],Collaborators[1][Type],Collaborators[1][Role],Collaborators[1]_flag,Collaborators[2][Name],Collaborators[2][Type],Collaborators[2][Role],Collaborators[2]_flag
13847,W. Clark Craig,W. Clark Craig,person,Contributor,1.0,,,,
13848,"Gerling-Thomas-Ward, Inc. | consulting engineers","Gerling-Thomas-Ward, Inc",company,consulting engineers,0.0,,,,
13849,"Gerling-Thomas-Ward, Inc. | consulting engineers","Gerling-Thomas-Ward, Inc",company,consulting engineers,0.0,,,,
13850,Herbert Crume,Herbert Crume,person,Contributor,1.0,,,,
13851,,,,,,,,,
13852,,,,,,,,,
13853,,,,,,,,,
13854,,,,,,,,,
13855,,,,,,,,,
13856,,,,,,,,,
13857,,,,,,,,,
13858,,,,,,,,,
13859,,,,,,,,,
13860,,,,,,,,,
13861,,,,,,,,,
13862,,,,,,,,,
13863,"Gerling-Thomas, Inc.","Gerling-Thomas, Inc",company,Contributor,0.0,,,,
13864,,,,,,,,,
13865,Morris Parker Associates,Morris Parker Associates,company,Contributor,0.0,,,,
13866,,,,,,,,,
13867,,,,,,,,,
13868,,,,,,,,,
13869,,,,,,,,,
13870,,,,,,,,,
13871,,,,,,,,,
13872,,,,,,,,,
13873,,,,,,,,,
13874,,,,,,,,,
13875,,,,,,,,,
13876,,,,,,,,,
13877,,,,,,,,,
13878,,,,,,,,,
13879,,,,,,,,,
13880,,,,,,,,,
13881,,,,,,,,,
13882,,,,,,,,,
13883,,,,,,,,,
13884,,,,,,,,,
13885,,,,,,,,,
13886,,,,,,,,,
13887,,,,,,,,,
13888,,,,,,,,,
13889,,,,,,,,,
13890,,,,,,,,,
13891,,,,,,,,,
13892,,,,,,,,,
13893,,,,,,,,,
13894,,,,,,,,,
13895,,,,,,,,,
13896,,,,,,,,,
13897,,,,,,,,,
13898,,,,,,,,,
13899,,,,,,,,,
13900,,,,,,,,,
13901,,,,,,,,,
13902,,,,,,,,,
13903,,,,,,,,,
13904,,,,,,,,,
13905,,,,,,,,,
13906,,,,,,,,,
13907,,,,,,,,,
13908,,,,,,,,,
13909,,,,,,,,,
13910,,,,,,,,,
13911,,,,,,,,,
13912,,,,,,,,,
13913,,,,,,,,,
13914,,,,,,,,,
13915,,,,,,,,,
13916,,,,,,,,,
13917,,,,,,,,,
13918,,,,,,,,,
13919,,,,,,,,,
13920,,,,,,,,,
13921,,,,,,,,,
13922,,,,,,,,,
13923,Larry M. Swayze | structural engineer,Larry M. Swayze,person,structural engineer,1.0,,,,
13924,,,,,,,,,
13925,,,,,,,,,
13926,,,,,,,,,
13927,,,,,,,,,
13928,Turley and Williams | consulting engineers and surveyors,Turley and Williams,company,consulting engineers and surveyors,1.0,,,,
13929,,,,,,,,,
13930,,,,,,,,,
13931,,,,,,,,,
13932,,,,,,,,,
13933,Larry Swayze | structural engineer; Gerling-Thomas-Ward | mechanical engineers,Larry Swayze,person,structural engineer,1.0,Gerling-Thomas-Ward,person,mechanical engineers,1.0
13934,,,,,,,,,
13935,Larry M. Swayze | structural engineer,Larry M. Swayze,person,structural engineer,1.0,,,,
13936,,,,,,,,,
13937,"Gerling-Thomas-Ward, Inc. | consulting engineers; W. Clark Craig-Roesle | structural engineers","Gerling-Thomas-Ward, Inc",company,consulting engineers,0.0,W. Clark Craig-Roesle,person,structural engineers,1.0
13938,,,,,,,,,
13939,,,,,,,,,
13940,,,,,,,,,
13941,,,,,,,,,
13942,"Outsides of Austin, Landscape Architects-Planners","Outsides of Austin, Landscape Architects-Planners",company,Contributor,0.0,,,,
13943,,,,,,,,,
13944,,,,,,,,,
13945,,,,,,,,,
13946,,,,,,,,,
13947,TK Consulting Engineers,TK Consulting Engineers,person,Contributor,1.0,,,,
13948,"Gerling-Thomas Ward, Inc. Consulting Engineers","Gerling-Thomas Ward, Inc. Consulting Engineers",company,Contributor,0.0,,,,
13949,Talex Inc. Engineers,Talex Inc. Engineers,company,Contributor,0.0,,,,
13950,,,,,,,,,
13951,,,,,,,,,
13952,,,,,,,,,
13953,,,,,,,,,
13954,,,,,,,,,
