unique ID,coll code,Collection,Set type
9445,AA,"Ayres & Ayres, Architects records",
9446,AA,"Ayres & Ayres, Architects records",
9447,AA,"Ayres & Ayres, Architects records",
9448,AA,"Ayres & Ayres, Architects records",
9449,AA,"Ayres & Ayres, Architects records",
9450,AA,"Ayres & Ayres, Architects records",
9451,AA,"Ayres & Ayres, Architects records",
9452,AA,"Ayres & Ayres, Architects records",
9453,AA,"Ayres & Ayres, Architects records",
9454,AA,"Ayres & Ayres, Architects records",
9455,AA,"Ayres & Ayres, Architects records",
9456,AA,"Ayres & Ayres, Architects records",
9457,AA,"Ayres & Ayres, Architects records",presentation
9458,AA,"Ayres & Ayres, Architects records",
9459,AA,"Ayres & Ayres, Architects records",
9460,AA,"Ayres & Ayres, Architects records",presentation
9461,AA,"Ayres & Ayres, Architects records",
9462,AA,"Ayres & Ayres, Architects records",
9463,AA,"Ayres & Ayres, Architects records",
9464,AA,"Ayres & Ayres, Architects records",
9465,AA,"Ayres & Ayres, Architects records",
9466,AA,"Ayres & Ayres, Architects records",
9467,AA,"Ayres & Ayres, Architects records",
9468,AA,"Ayres & Ayres, Architects records",
9469,AA,"Ayres & Ayres, Architects records",
9470,AA,"Ayres & Ayres, Architects records",
9471,AA,"Ayres & Ayres, Architects records",
9472,AA,"Ayres & Ayres, Architects records",
9473,AA,"Ayres & Ayres, Architects records",
9474,AA,"Ayres & Ayres, Architects records",
9475,AA,"Ayres & Ayres, Architects records",
9476,AA,"Ayres & Ayres, Architects records",
9477,AA,"Ayres & Ayres, Architects records",
9478,AA,"Ayres & Ayres, Architects records","architectural/measured
mechanical/plumbing/HVAC"
9479,AA,"Ayres & Ayres, Architects records",
9480,AA,"Ayres & Ayres, Architects records",
9481,AA,"Ayres & Ayres, Architects records","design/studies and sketches
presentation"
9482,AA,"Ayres & Ayres, Architects records",
9483,AA,"Ayres & Ayres, Architects records",
9484,AA,"Ayres & Ayres, Architects records",
9485,AA,"Ayres & Ayres, Architects records",
9486,AA,"Ayres & Ayres, Architects records",
9487,AA,"Ayres & Ayres, Architects records",
9488,AA,"Ayres & Ayres, Architects records",
9489,AA,"Ayres & Ayres, Architects records",
9490,AA,"Ayres & Ayres, Architects records",
9491,AA,"Ayres & Ayres, Architects records",
9492,AA,"Ayres & Ayres, Architects records",
9493,AA,"Ayres & Ayres, Architects records",
9494,AA,"Ayres & Ayres, Architects records",
9495,AA,"Ayres & Ayres, Architects records",
9496,AA,"Ayres & Ayres, Architects records",
9497,AA,"Ayres & Ayres, Architects records",
9498,AA,"Ayres & Ayres, Architects records",
9499,AA,"Ayres & Ayres, Architects records",
9500,AA,"Ayres & Ayres, Architects records","architectural/measured
design/studies and sketches"
9501,AA,"Ayres & Ayres, Architects records",architectural/measured
9502,AA,"Ayres & Ayres, Architects records","architectural/measured
design/studies and sketches"
9503,AA,"Ayres & Ayres, Architects records",industrial design/furniture
9504,AA,"Ayres & Ayres, Architects records","design/studies&sketches
architectural/measured"
9505,AA,"Ayres & Ayres, Architects records",architectural/measured
9506,AA,"Ayres & Ayres, Architects records","design/studies&sketches
architectural/measured"
9507,AA,"Ayres & Ayres, Architects records","design/studies&sketches
design/studies and sketches"
9508,AA,"Ayres & Ayres, Architects records",architectural/measured
9509,AA,"Ayres & Ayres, Architects records",
9510,AA,"Ayres & Ayres, Architects records",
9511,AA,"Ayres & Ayres, Architects records",
9512,AA,"Ayres & Ayres, Architects records",
9513,AA,"Ayres & Ayres, Architects records",
9514,AA,"Ayres & Ayres, Architects records",
9515,AA,"Ayres & Ayres, Architects records",
9516,AA,"Ayres & Ayres, Architects records",
9517,AA,"Ayres & Ayres, Architects records",
9518,AA,"Ayres & Ayres, Architects records",
9519,AA,"Ayres & Ayres, Architects records",
9520,AA,"Ayres & Ayres, Architects records",
9521,AA,"Ayres & Ayres, Architects records",
9522,AA,"Ayres & Ayres, Architects records",
9523,AA,"Ayres & Ayres, Architects records","architectural/measured
site/landscape 
presentation"
9524,AA,"Ayres & Ayres, Architects records",
9525,AA,"Ayres & Ayres, Architects records",
9526,AA,"Ayres & Ayres, Architects records",
9527,AA,"Ayres & Ayres, Architects records",
9528,AA,"Ayres & Ayres, Architects records",
9529,AA,"Ayres & Ayres, Architects records",
9530,AA,"Ayres & Ayres, Architects records",
9531,AA,"Ayres & Ayres, Architects records",
9532,AA,"Ayres & Ayres, Architects records",
9533,AA,"Ayres & Ayres, Architects records",
9534,AA,"Ayres & Ayres, Architects records",
9535,AA,"Ayres & Ayres, Architects records","architectural/measured
design/studies and sketches
electrical
mechanical/plumbing/HVAC"
9536,AA,"Ayres & Ayres, Architects records",
9537,AA,"Ayres & Ayres, Architects records",
9538,AA,"Ayres & Ayres, Architects records",
9539,AA,"Ayres & Ayres, Architects records",
9540,AA,"Ayres & Ayres, Architects records",
9541,AA,"Ayres & Ayres, Architects records",
9542,AA,"Ayres & Ayres, Architects records",
9543,AA,"Ayres & Ayres, Architects records",
9544,AA,"Ayres & Ayres, Architects records",
9545,AA,"Ayres & Ayres, Architects records",
9546,AA,"Ayres & Ayres, Architects records",
9547,AA,"Ayres & Ayres, Architects records",
9548,AA,"Ayres & Ayres, Architects records",
9549,AA,"Ayres & Ayres, Architects records","presentation
design/studies and sketches"
9550,AA,"Ayres & Ayres, Architects records",
9551,AA,"Ayres & Ayres, Architects records",
9552,AA,"Ayres & Ayres, Architects records",
9553,AA,"Ayres & Ayres, Architects records","architectural/measured
presentation"
9554,AA,"Ayres & Ayres, Architects records",
9555,AA,"Ayres & Ayres, Architects records",
9556,AA,"Ayres & Ayres, Architects records",
9557,AA,"Ayres & Ayres, Architects records",
9558,AA,"Ayres & Ayres, Architects records",
9559,AA,"Ayres & Ayres, Architects records",
9560,AA,"Ayres & Ayres, Architects records",
9561,AA,"Ayres & Ayres, Architects records",
9562,AA,"Ayres & Ayres, Architects records",
9563,AA,"Ayres & Ayres, Architects records",
9564,AA,"Ayres & Ayres, Architects records",
9565,AA,"Ayres & Ayres, Architects records",
9566,AA,"Ayres & Ayres, Architects records",
9567,AA,"Ayres & Ayres, Architects records",
9568,AA,"Ayres & Ayres, Architects records",
9569,AA,"Ayres & Ayres, Architects records",
9570,AA,"Ayres & Ayres, Architects records",
9571,AA,"Ayres & Ayres, Architects records",
9572,AA,"Ayres & Ayres, Architects records","architectural/measured
structural"
9573,AA,"Ayres & Ayres, Architects records",
9574,AA,"Ayres & Ayres, Architects records",
9575,AA,"Ayres & Ayres, Architects records",
9576,AA,"Ayres & Ayres, Architects records",
9577,AA,"Ayres & Ayres, Architects records",architectural/measured
9578,AA,"Ayres & Ayres, Architects records","architectural/measured
preliminary
includes interiors"
9579,AA,"Ayres & Ayres, Architects records",
9580,AA,"Ayres & Ayres, Architects records",
9581,AA,"Ayres & Ayres, Architects records",
9582,AA,"Ayres & Ayres, Architects records",
9583,AA,"Ayres & Ayres, Architects records",
9584,AA,"Ayres & Ayres, Architects records",presentation
9585,AA,"Ayres & Ayres, Architects records",
9586,AA,"Ayres & Ayres, Architects records",
9587,AA,"Ayres & Ayres, Architects records",
9588,AA,"Ayres & Ayres, Architects records",
9589,AA,"Ayres & Ayres, Architects records",
9590,AA,"Ayres & Ayres, Architects records",
9591,AA,"Ayres & Ayres, Architects records","architectural/measured
mechanical/plumbing/HVAC"
9592,AA,"Ayres & Ayres, Architects records",architectural/measured
9593,AA,"Ayres & Ayres, Architects records",architectural/measured
9594,AA,"Ayres & Ayres, Architects records",
9595,AA,"Ayres & Ayres, Architects records",
9596,AA,"Ayres & Ayres, Architects records",
9597,AA,"Ayres & Ayres, Architects records",
9598,AA,"Ayres & Ayres, Architects records",
9599,AA,"Ayres & Ayres, Architects records",
9600,AA,"Ayres & Ayres, Architects records","design/studies and sketches
presentation"
9601,AA,"Ayres & Ayres, Architects records",
9602,AA,"Ayres & Ayres, Architects records",
9603,AA,"Ayres & Ayres, Architects records",
9604,AA,"Ayres & Ayres, Architects records",
9605,AA,"Ayres & Ayres, Architects records",
9606,AA,"Ayres & Ayres, Architects records",architectural/measured
9607,AA,"Ayres & Ayres, Architects records",architectural/measured
9608,AA,"Ayres & Ayres, Architects records",
9609,AA,"Ayres & Ayres, Architects records",
9610,AA,"Ayres & Ayres, Architects records",
9611,AA,"Ayres & Ayres, Architects records",
9612,AA,"Ayres & Ayres, Architects records",
9613,AA,"Ayres & Ayres, Architects records",
9614,AA,"Ayres & Ayres, Architects records",
9615,AA,"Ayres & Ayres, Architects records",
9616,AA,"Ayres & Ayres, Architects records",
9617,AA,"Ayres & Ayres, Architects records",
9618,AA,"Ayres & Ayres, Architects records",undetermined
9619,AA,"Ayres & Ayres, Architects records",
9620,AA,"Ayres & Ayres, Architects records",
9621,AA,"Ayres & Ayres, Architects records",
9622,AA,"Ayres & Ayres, Architects records",
9623,AA,"Ayres & Ayres, Architects records",
9624,AA,"Ayres & Ayres, Architects records","design
structural"
9625,AA,"Ayres & Ayres, Architects records","design
structural
mechanical"
9626,AA,"Ayres & Ayres, Architects records","design
structural"
9627,AA,"Ayres & Ayres, Architects records","design
structural
industrial design"
9628,AA,"Ayres & Ayres, Architects records","design
structural
includes interiors"
9629,AA,"Ayres & Ayres, Architects records","design
structural
industrial design"
9630,AA,"Ayres & Ayres, Architects records","design
structural"
9631,AA,"Ayres & Ayres, Architects records","architectural/measured
structural
mechanical/plumbing/HVAC
electrical
site/landscape "
9632,AA,"Ayres & Ayres, Architects records",
9633,AA,"Ayres & Ayres, Architects records",
9634,AA,"Ayres & Ayres, Architects records",
9635,AA,"Ayres & Ayres, Architects records",
9636,AA,"Ayres & Ayres, Architects records",
9637,AA,"Ayres & Ayres, Architects records",
9638,AA,"Ayres & Ayres, Architects records",
9639,AA,"Ayres & Ayres, Architects records",
9640,AA,"Ayres & Ayres, Architects records",
9641,AA,"Ayres & Ayres, Architects records",
9642,AA,"Ayres & Ayres, Architects records",
9643,AA,"Ayres & Ayres, Architects records",
9644,AA,"Ayres & Ayres, Architects records",
9645,AA,"Ayres & Ayres, Architects records",
9646,AA,"Ayres & Ayres, Architects records",
9647,AA,"Ayres & Ayres, Architects records",
9648,AA,"Ayres & Ayres, Architects records",
9649,AA,"Ayres & Ayres, Architects records",
9650,AA,"Ayres & Ayres, Architects records",
9651,AA,"Ayres & Ayres, Architects records",
9652,AA,"Ayres & Ayres, Architects records",
9653,AA,"Ayres & Ayres, Architects records",
9654,AA,"Ayres & Ayres, Architects records",
9655,AA,"Ayres & Ayres, Architects records",
9656,AA,"Ayres & Ayres, Architects records","design/studies and sketches
presentation"
9657,AA,"Ayres & Ayres, Architects records",
9658,AA,"Ayres & Ayres, Architects records",
9659,AA,"Ayres & Ayres, Architects records",
9660,AA,"Ayres & Ayres, Architects records",
9661,AA,"Ayres & Ayres, Architects records",
9662,AA,"Ayres & Ayres, Architects records",
9663,AA,"Ayres & Ayres, Architects records",
9664,AA,"Ayres & Ayres, Architects records",
9665,AA,"Ayres & Ayres, Architects records",
9666,AA,"Ayres & Ayres, Architects records",
9667,AA,"Ayres & Ayres, Architects records",
9668,AA,"Ayres & Ayres, Architects records",site/landscape 
9669,AA,"Ayres & Ayres, Architects records",
9670,AA,"Ayres & Ayres, Architects records",
9671,AA,"Ayres & Ayres, Architects records",
9672,AA,"Ayres & Ayres, Architects records",
9673,AA,"Ayres & Ayres, Architects records",architectural/measured
9674,AA,"Ayres & Ayres, Architects records",
9675,AA,"Ayres & Ayres, Architects records",
9676,AA,"Ayres & Ayres, Architects records",
9677,AA,"Ayres & Ayres, Architects records",
9678,AA,"Ayres & Ayres, Architects records",
9679,AA,"Ayres & Ayres, Architects records",
9680,AA,"Ayres & Ayres, Architects records",structural
9681,AA,"Ayres & Ayres, Architects records",
9682,AA,"Ayres & Ayres, Architects records",
9683,AA,"Ayres & Ayres, Architects records",
9684,AA,"Ayres & Ayres, Architects records",technical
9685,AA,"Ayres & Ayres, Architects records",
9686,AA,"Ayres & Ayres, Architects records",
9687,AA,"Ayres & Ayres, Architects records",technical
9688,AA,"Ayres & Ayres, Architects records",
9689,AA,"Ayres & Ayres, Architects records",
9690,AA,"Ayres & Ayres, Architects records",
9691,AA,"Ayres & Ayres, Architects records",
9692,AA,"Ayres & Ayres, Architects records",
9693,AA,"Ayres & Ayres, Architects records",
9694,AA,"Ayres & Ayres, Architects records",
9695,AA,"Ayres & Ayres, Architects records",
9696,AA,"Ayres & Ayres, Architects records",site/landscape 
9697,AA,"Ayres & Ayres, Architects records",presentation
9698,AA,"Ayres & Ayres, Architects records",
9699,AA,"Ayres & Ayres, Architects records",
9700,AA,"Ayres & Ayres, Architects records",
9701,AA,"Ayres & Ayres, Architects records",
9702,AA,"Ayres & Ayres, Architects records",
9703,AA,"Ayres & Ayres, Architects records",
9704,AA,"Ayres & Ayres, Architects records",
9705,AA,"Ayres & Ayres, Architects records",
9706,AA,"Ayres & Ayres, Architects records",
9707,AA,"Ayres & Ayres, Architects records",
9708,AA,"Ayres & Ayres, Architects records",
9709,AA,"Ayres & Ayres, Architects records",
9710,AA,"Ayres & Ayres, Architects records",
9711,AA,"Ayres & Ayres, Architects records",
9712,AA,"Ayres & Ayres, Architects records",
9713,AA,"Ayres & Ayres, Architects records",
9714,AA,"Ayres & Ayres, Architects records",
9715,AA,"Ayres & Ayres, Architects records",
9716,AA,"Ayres & Ayres, Architects records",
9717,AA,"Ayres & Ayres, Architects records",
9718,AA,"Ayres & Ayres, Architects records",
9719,AA,"Ayres & Ayres, Architects records",
9720,AA,"Ayres & Ayres, Architects records",
9721,AA,"Ayres & Ayres, Architects records",
9722,AA,"Ayres & Ayres, Architects records",architectural/measured
9723,AA,"Ayres & Ayres, Architects records",
9724,AA,"Ayres & Ayres, Architects records",
9725,AA,"Ayres & Ayres, Architects records",
9726,AA,"Ayres & Ayres, Architects records",other (see notes)
9727,AA,"Ayres & Ayres, Architects records",
9728,AA,"Ayres & Ayres, Architects records",
9729,AA,"Ayres & Ayres, Architects records",sketches
9730,AA,"Ayres & Ayres, Architects records",
9731,AA,"Ayres & Ayres, Architects records",
9732,AA,"Ayres & Ayres, Architects records",
9733,AA,"Ayres & Ayres, Architects records",
9734,AA,"Ayres & Ayres, Architects records",
9735,AA,"Ayres & Ayres, Architects records",
9736,AA,"Ayres & Ayres, Architects records",
9737,AA,"Ayres & Ayres, Architects records",
9738,AA,"Ayres & Ayres, Architects records",
9739,AA,"Ayres & Ayres, Architects records","design/studies and sketches
presentation"
9740,AA,"Ayres & Ayres, Architects records",
9741,AA,"Ayres & Ayres, Architects records",
9742,AA,"Ayres & Ayres, Architects records",
9743,AA,"Ayres & Ayres, Architects records",
9744,AA,"Ayres & Ayres, Architects records","architectural/measured
mechanical/plumbing/HVAC
site/landscape "
9745,AA,"Ayres & Ayres, Architects records",
9746,AA,"Ayres & Ayres, Architects records",
9747,AA,"Ayres & Ayres, Architects records",
9748,AA,"Ayres & Ayres, Architects records",
9749,AA,"Ayres & Ayres, Architects records",
9750,AA,"Ayres & Ayres, Architects records",
