unique ID,coll code,Collection,Project name,Project number,Street address,City,County,State/Province,Country,FAST Geographic,Primary archt/firm,Collaborators:,Client,Contributor notes,Notes,Number of items,AAA box #,AAA folder #,AAA roll #,Date on drawings,Date normalized,Media,Material types:,Set type,Processor,Processing completion date,Entry date:,Rev. date:,Pres. notes:,treatment completed A,treatment completed B,treatment completed C,treatment completed D,treatment completed E,Accession #,Holding institution:
9593,AA,"Ayres & Ayres, Architects records",S.G. Nelson residence. Guest house.,,Mockingbird Lane,San Antonio,Bexar,Texas,United States,Texas--San Antonio,Ayres and Ayres | architects,,"Nelson, S. G.",Contributor/Architect inferred by cataloger,,,,AAf053,,1943,1943,pencil on trace,,architectural/measured,,,,,,,,,undetermined,,,
9594,AA,"Ayres & Ayres, Architects records",S.L. Kone residence. Alterations.,,,San Antonio,Bexar,Texas,United States,Texas--San Antonio,Ayres and Ayres | architects,,"Kone, S. L.",Contributor/Architect inferred by cataloger,,,,AAf018.2,,1958,1958,,,,,,,,,,,,,,,
9595,AA,"Ayres & Ayres, Architects records",S.L. Kone residence. Alterations.,,,San Antonio,Bexar,Texas,United States,Texas--San Antonio,Ayres and Ayres | architects,,"Kone, S. L.",Contributor/Architect inferred by cataloger,,,,AAf018.3,,1963,1963,,,,,,,,,,,,,,,
9596,AA,"Ayres & Ayres, Architects records","Saint Peter's Episcopal Church (Kerrville, Tex.).",,,Kerrville,Kerr,Texas,United States,Texas--Kerrville,Ayres and Ayres | architects,,"Saint Peter's Episcopal Church (Kerrville, Tex.)",Contributor/Architect inferred by cataloger,,,,AAf247,AAr025,1930,1930,,,,,,,,,,,,,,,
9597,AA,"Ayres & Ayres, Architects records",Saint Phillips College swimming pool and foyer. Addition.,,2111 Neveda,San Antonio,Bexar,Texas,United States,Texas--San Antonio,Ayres and Ayres | architects,,Saint Phillips College,Contributor/Architect inferred by cataloger,,,,AAf337,AAr071,1953,1953,,,,,,,,,,,,,,,
9598,AA,"Ayres & Ayres, Architects records","Saint Thomas Episcopal Church (Bexar County, Tex.).",,F. M. 1604,,Bexar,Texas,United States,,Ayres and Ayres | architects,,"Saint Thomas Episcopal Church (Bexar County, Tex.)",Contributor/Architect inferred by cataloger,,,,AAf252,,1967,1967,,,,,,,,,,,,,,,
9599,AA,"Ayres & Ayres, Architects records","Salvation Army building (San Antonio, Tex.).",,4019 Broadway,San Antonio,Bexar,Texas,United States,Texas--San Antonio,Ayres and Ayres | architects,,Salvation Army,Contributor/Architect inferred by cataloger,,,,AAf250,,1948-1950,1948-1950,,,,,,,,,,,,,,,
9600,AA,"Ayres & Ayres, Architects records",Salvation Army Building.,,4001 Broadway,San Antonio,Bexar,Texas,United States,Texas--San Antonio,Ayres and Ayres | architects,,Salvation Army,,"listed in paper finding aid as B-19 under Pagenkopf appraisal 1989014 accession
1 rendering sent to Kilgarlin Center PCS Paper Lab 2 students for conservation work 8/28/2006",,, ," 
",undated,undated,"charcoals
watercolors/pastels
boards",,"design/studies and sketches
presentation",nls,,Wed Aug 23 00:00:00 CDT 2006,,B prof. conservator,,,,,,1989014,
9601,AA,"Ayres & Ayres, Architects records",Sam Roberts residence.,,Mission Hills Subdivision,Kansas City,Johnson,Missouri,United States,Missouri--Kansas City,Ayres and Ayres | architects,,"Roberts, Sam",Contributor/Architect inferred by cataloger,,,,AAf003,,1927-1929,1927-1929,,,,,,,,,,,,,,,
9602,AA,"Ayres & Ayres, Architects records",San Antonio Athletic Club building. Proposed.,,,San Antonio,Bexar,Texas,United States,Texas--San Antonio,Ayres and Ayres | architects,,San Antonio Athletic Club,Contributor/Architect inferred by cataloger,,,,AAf467,,undated,undated,,,,,,,,,,,,,,,
9603,AA,"Ayres & Ayres, Architects records",San Antonio Buick Company shop building (one story).,,Sixth St,San Antonio,Bexar,Texas,United States,Texas--San Antonio,Ayres and Ayres | architects,,San Antonio Buick Company,Contributor/Architect inferred by cataloger,,,,AAf172,,1948-1949,1948-1949,,,,,,,,,,,,,,,
9604,AA,"Ayres & Ayres, Architects records","San Antonio City Blocks 180, 410 and 411.  Plat.",,,San Antonio,,Texas,United States,Texas--San Antonio,River engineers office,,,,,,,,AAr180,undated,undated,,,,hr,,Wed Mar 22 00:00:00 CST 2006,,,,,,,,,
9605,AA,"Ayres & Ayres, Architects records","San Antonio City Blocks 430, 18, lots 5 and 6 plat.",,,San Antonio,,Texas,United States,Texas--San Antonio,Henry Rullman | engineer,,,,,,,,AAr197,undated,undated,linens,,,hr,,Wed Mar 22 00:00:00 CST 2006,,,,,,,,,
9606,AA,"Ayres & Ayres, Architects records",San Antonio Country Club. Basement. Remodeling.,,4100 North New Braunfels,San Antonio,Bexar,Texas,United States,Texas--San Antonio,Atlee B. Ayres | architect,,San Antonio Golf and Country Club,,"Date = June 12, 1915.  Unsure where address came from - address is not noted on the drawings.  This building burned down around 1916, per Paula Allen, San Antonio Express-News.",,,AAf195.1,,1915,1915,linens,,architectural/measured,bjd,,Fri Sep 29 00:00:00 CDT 2000,,,,,,,,,
9607,AA,"Ayres & Ayres, Architects records",San Antonio Daily Light Building.,,Travis St,San Antonio,Bexar,Texas,United States,Texas--San Antonio,Atlee B. Ayres | architect,,San Antonio Daily Light,,,,,AAF217,,1913-1914,1913-1914,linens,,architectural/measured,bjd,,Tue Jul 10 00:00:00 CDT 2001,,"D humid./flatten
E fasteners/rehouse",,,,y,y,,
9608,AA,"Ayres & Ayres, Architects records",San Antonio I.S.D. Herman Hirsch Elementary School.,,4826 Sea Breeze,San Antonio,Bexar,Texas,United States,Texas--San Antonio,Ayres and Ayres | architects,,San Antonio I.S.D.,Contributor/Architect inferred by cataloger,,,,AAf340,AAr075,1959,1959,,,,,,,,,,,,,,,
9609,AA,"Ayres & Ayres, Architects records",San Antonio I.S.D. Thomas Jefferson High School. Additions.,,[723 Donaldson],San Antonio,Bexar,Texas,United States,Texas--San Antonio,Ayres and Ayres | architects,,San Antonio I.S.D.,Contributor/Architect inferred by cataloger,,,,AAf336,"AAr073, AAr073.1",1953,1953,,,,,,,,,,,,,,,
9610,AA,"Ayres & Ayres, Architects records",San Antonio I.S.D. Thomas Jefferson High School. Additions.,,[723 Donaldson],San Antonio,Bexar,Texas,United States,Texas--San Antonio,Ayres and Ayres | architects,,San Antonio I.S.D.,Contributor/Architect inferred by cataloger,,,,AAf336,"AAr073, AAr073.1",1956,1956,,,,,,,,,,,,,,,
9611,AA,"Ayres & Ayres, Architects records",San Antonio I.S.D. Thomas Jefferson High School. Additions.,,[723 Donaldson],San Antonio,Bexar,Texas,United States,Texas--San Antonio,Ayres and Ayres | architects,,San Antonio I.S.D.,Contributor/Architect inferred by cataloger,,,,AAf336,"AAr073, AAr073.1",1963,1963,,,,,,,,,,,,,,,
9612,AA,"Ayres & Ayres, Architects records",San Antonio I.S.D. Thomas Jefferson High School. Additions.,,[723 Donaldson],San Antonio,Bexar,Texas,United States,Texas--San Antonio,Ayres and Ayres | architects,,San Antonio I.S.D.,Contributor/Architect inferred by cataloger,,,,AAf336,"AAr073, AAr073.1",1972-1973,1972-1973,,,,,,,,,,,,,,,
9613,AA,"Ayres & Ayres, Architects records",San Antonio International Airport.,,,San Antonio,Bexar,Texas,United States,Texas--San Antonio,Ayres and Ayres | architects,,,,AAr135,,,AAf418,f135  dr 48d,undated,undated,,,,hr,,Mon Mar 20 00:00:00 CST 2006,,,,,,,,,
9614,AA,"Ayres & Ayres, Architects records",San Antonio International Airport.  Additions and alterations to the terminal building.,,,San Antonio,Bexar,Texas,United States,Texas--San Antonio,Ayres and Ayres | architects,,,,,,,AAf419,AAr136,undated,undated,,,,hr,,Mon Mar 20 00:00:00 CST 2006,,,,,,,,,
9615,AA,"Ayres & Ayres, Architects records",San Antonio International Airport.Terminal,,,San Antonio,Bexar,Texas,United States,Texas--San Antonio,Ayres and Ayres | architects,,San Antonio International Airport,,,,, ,AAr133-AAr134,1945-48,1945-1948,"trace paper
photostats",,,tv,,Wed Jun 02 00:00:00 CDT 2004,,,,,,,,,
9616,AA,"Ayres & Ayres, Architects records",San Antonio International Airport. Airtel. Proposed.,,,San Antonio,Bexar,Texas,United States,Texas--San Antonio,Ayres and Ayres | architects,,San Antonio International Airport,Contributor/Architect inferred by cataloger,exterior perspective and section drawings were in sanctioning modernism exhibit now in tcabinet2022002-02 waiting to be scanned drawer,,,AAf417, ,1962,1962,"photostats
prints (ex. bluelines)",,,nls,,Wed Feb 21 00:00:00 CST 2007,2023-04-21 00:00:00,,,,,,,,
9617,AA,"Ayres & Ayres, Architects records",San Antonio Loan and Trust Company’s Building.,,,San Antonio,Bexar,Texas,,,Ayres and Ayres | architects,Cyrus L. W. Eidlitz,,,"Date: August 10, 1901.",,,AAf150,,1901,1901,"linens
prints (ex. bluelines)",,,hr,,Mon Mar 13 00:00:00 CST 2006,,,,,,,,,
9618,AA,"Ayres & Ayres, Architects records",San Antonio Public Service Board laboratory and shops building.,,Jones Ave,San Antonio,Bexar,Texas,United States,Texas--San Antonio,Ayres and Ayres | architects,,San Antonio Public Service Board,Contributor/Architect inferred by cataloger,,,,AAf239,,1959,1959,,,undetermined,,,,,,,,,,,,
9619,AA,"Ayres & Ayres, Architects records",San Antonio Public Service Co. office building.,,201 North St. Mary's St,San Antonio,Bexar,Texas,United States,Texas--San Antonio,Ayres and Ayres | architects,,San Antonio Public Service Co.,Contributor/Architect inferred by cataloger,,,,AAf170,,1920,1920,,,,,,,,,,,,,,,
9620,AA,"Ayres & Ayres, Architects records",San Antonio Public Service Co. office building.,,201 North St. Mary's St,San Antonio,Bexar,Texas,United States,Texas--San Antonio,Ayres and Ayres | architects,,San Antonio Public Service Co.,Contributor/Architect inferred by cataloger,,,,AAf177.1,,1927,1927,,,,,,,,,,,,,,,
9621,AA,"Ayres & Ayres, Architects records",San Antonio Public Service Co. office building.,,201 North St. Mary's St,San Antonio,Bexar,Texas,United States,Texas--San Antonio,Ayres and Ayres | architects,,San Antonio Public Service Co.,Contributor/Architect inferred by cataloger,,,,AAf177.2,,1930,1930,,,,,,,,,,,,,,,
9622,AA,"Ayres & Ayres, Architects records",San Antonio Public Service Co. office building.,,201 North St. Mary's St,San Antonio,Bexar,Texas,United States,Texas--San Antonio,Ayres and Ayres | architects,,San Antonio Public Service Co.,Contributor/Architect inferred by cataloger,,,,AAf177.3,,1937,1937,,,,,,,,,,,,,,,
9623,AA,"Ayres & Ayres, Architects records",San Antonio Public Service Co. office building.,,201 North St. Mary's Street,San Antonio,Bexar,Texas,United States,Texas--San Antonio,Ayres and Ayres | architects,,San Antonio Public Service Co.,Contributor/Architect inferred by cataloger,,,,AAf177.4,,1942,1942,,,,,,,,,,,,,,,
9624,AA,"Ayres & Ayres, Architects records",San Antonio Public Service Company Office Building.,,201 North St. Mary’s St,San Antonio,Bexar,Texas,United States,Texas--San Antonio,Atlee B. Ayres | architect,,San Antonio Public Service Company,,"Later called the Petroleum Commerce Building. Primary architect note:  626 Bedell Building, San Antonio, TX",,,AAf177,,1920,1920,"ink on linen
pencil on trace","photographic
job files
specifications
drawings","design
structural",,,,,,,,,,,1.979E+23,
9625,AA,"Ayres & Ayres, Architects records",San Antonio Public Service Company Office Building.  Additions,,201 North St. Mary’s St,San Antonio,Bexar,Texas,United States,Texas--San Antonio,Atlee B. Ayres and Robert M. Ayres | architects,W. E. Simpton Company | engineers,San Antonio Public Service Company,,Later called the Petroleum Commerce Building.,,,AAf177.1,,1927,1927,ink on linen,"job files
specifications
drawings","design
structural
mechanical",,,,,,,,,,,1.979E+23,
9626,AA,"Ayres & Ayres, Architects records",San Antonio Public Service Company Office Building.  Basement and first floor show windows. Alterations.,,201 North St. Mary’s St,San Antonio,Bexar,Texas,United States,Texas--San Antonio,Atlee B. Ayres and Robert M. Ayres | architects,,San Antonio Public Service Company,,Later called the Petroleum Commerce Building.,,,AAf177.2,,1930,1930,pencil on trace,"job files
specifications
drawings","design
structural",,,,,,,,,,,1.979E+23,
9627,AA,"Ayres & Ayres, Architects records",San Antonio Public Service Company Office Building.  Basement and first floor show windows. Remodeling,,201 North St. Mary’s St,San Antonio,Bexar,Texas,United States,Texas--San Antonio,Atlee B. Ayres and Robert M. Ayres | architects,,San Antonio Public Service Company,,Later called the Petroleum Commerce Building.,,,AAf177.3,,1937,1937,pencil on trace,"job files
specifications
drawings","design
structural
industrial design",,,,,,,,,,,1.979E+23,
